timestamp,normalized_target_horizontal,normalized_target_vertical,distance_to_target
2021-04-05 03:44:26.829133,-0.06875,0.008333333333333333,175.21135839704402
2021-04-05 03:44:26.840591,-0.06875,0.008333333333333333,175.10241075710604
2021-04-05 03:44:26.866214,-0.05625,0.0125,174.90162595043532
2021-04-05 03:44:26.877806,-0.05625,0.0125,174.79307335163537
2021-04-05 03:44:26.902818,-0.046875,0.0125,174.5930944406408
2021-04-05 03:44:26.916170,-0.046875,0.0125,174.46838217336807
2021-04-05 03:44:26.942419,-0.034375,0.008333333333333333,174.27755964526204
2021-04-05 03:44:26.970964,-0.028125,0.008333333333333333,174.0376321541779
2021-04-05 03:44:26.984297,-0.025,0.008333333333333333,173.91381595167843
2021-04-05 03:44:27.007653,-0.015625,0.004166666666666667,173.72432660204794
2021-04-05 03:44:27.018766,-0.015625,0.0,173.62563098824248
2021-04-05 03:44:27.043746,-0.009375,-0.004166666666666667,173.42036398551036
2021-04-05 03:44:27.074097,0.0,-0.0125,173.16635546909544
2021-04-05 03:44:27.085826,0.0,-0.0125,173.10906607667386
2021-04-05 03:44:27.112158,0.009375,-0.016666666666666666,172.85562171036835
2021-04-05 03:44:27.142765,0.015625,-0.025,172.618881885479
2021-04-05 03:44:27.157151,0.015625,-0.029166666666666667,172.49654466346755
2021-04-05 03:44:27.180603,0.021875,-0.0375,172.32539156535148
2021-04-05 03:44:27.193892,0.021875,-0.0375,172.20321243112704
2021-04-05 03:44:27.215121,0.028125,-0.04583333333333333,172.01597085861854
2021-04-05 03:44:27.226873,0.028125,-0.04583333333333333,171.95086898490706
2021-04-05 03:44:27.254168,0.034375,-0.05416666666666667,171.70682108771788
2021-04-05 03:44:27.285602,0.040625,-0.058333333333333334,171.45475129904833
2021-04-05 03:44:27.321411,0.046875,-0.0625,171.15381699733518
2021-04-05 03:44:27.352965,0.05,-0.07083333333333333,170.91778787418843
2021-04-05 03:44:27.365376,0.05,-0.07083333333333333,170.8037820253067
2021-04-05 03:44:27.388315,0.053125,-0.075,170.62454091773375
2021-04-05 03:44:27.401334,0.053125,-0.075,170.49410810062824
2021-04-05 03:44:27.425516,0.05625,-0.07916666666666666,170.31466218333622
2021-04-05 03:44:27.456987,0.059375,-0.07916666666666666,170.06157779954643
2021-04-05 03:44:27.469529,0.0625,-0.07916666666666666,169.93902110472973
2021-04-05 03:44:27.494924,0.0625,-0.07916666666666666,169.75097518380468
2021-04-05 03:44:27.525391,0.065625,-0.07916666666666666,169.5136532757367
2021-04-05 03:44:27.538370,0.065625,-0.075,169.39080471728454
2021-04-05 03:44:27.565297,0.065625,-0.075,169.18591320193042
2021-04-05 03:44:27.576690,0.06875,-0.075,169.07110251563552
2021-04-05 03:44:27.601115,0.06875,-0.07083333333333333,168.8905747859364
2021-04-05 03:44:27.632731,0.06875,-0.06666666666666667,168.6195555300685
2021-04-05 03:44:27.645953,0.071875,-0.06666666666666667,168.49628307500197
2021-04-05 03:44:27.669648,0.071875,-0.058333333333333334,168.3236199642777
2021-04-05 03:44:27.703750,0.06875,-0.05416666666666667,168.0356612715515
2021-04-05 03:44:27.734615,0.071875,-0.05,167.78869745441463
2021-04-05 03:44:27.748058,0.071875,-0.05,167.66517031707977
2021-04-05 03:44:27.771539,0.06875,-0.041666666666666664,167.4757242587887
2021-04-05 03:44:27.783954,0.06875,-0.041666666666666664,167.376868095052
2021-04-05 03:44:27.808621,0.071875,-0.0375,167.17089581779857
2021-04-05 03:44:27.841476,0.06875,-0.029166666666666667,166.92381742536395
2021-04-05 03:44:27.854177,0.06875,-0.029166666666666667,166.80034426337147
2021-04-05 03:44:27.879973,0.065625,-0.025,166.61110906816148
2021-04-05 03:44:27.914311,0.065625,-0.020833333333333332,166.3069458915146
2021-04-05 03:44:27.945094,0.065625,-0.016666666666666666,166.06058959871777
2021-04-05 03:44:27.957016,0.065625,-0.016666666666666666,165.93750673300758
2021-04-05 03:44:27.984895,0.0625,-0.0125,165.7079274831489
2021-04-05 03:44:27.996702,0.0625,-0.016666666666666666,165.65056757661173
2021-04-05 03:44:28.017781,0.059375,-0.0125,165.46221190803465
2021-04-05 03:44:28.030115,0.059375,-0.0125,165.34763591389145
2021-04-05 03:44:28.055339,0.059375,-0.0125,165.15954094458064
2021-04-05 03:44:28.087421,0.05625,-0.0125,164.90627375348015
